corner_num,start_idx,apex_idx,end_idx,corner_duration,entry_throttle,apex_throttle,min_throttle,exit_throttle,max_brake,brake_duration,apex_lateral_g,avg_steering_angle,throttle_application_point,vehicle_id,lap,lap_time,track,race
1,132,154,205,73,53.54,2.44,2.44,97.64,93.47,29,0.766,26.791891891891893,132,GR86-033-46,3,145.653,Sebring,Race 1
2,381,396,401,20,30.29,2.44,2.44,94.06,124.89,17,0.137,5.6190476190476195,401,GR86-033-46,3,145.653,Sebring,Race 1
3,413,422,458,45,8.06,2.46,2.46,91.96,58.735,20,1.098,51.67391304347826,457,GR86-033-46,3,145.653,Sebring,Race 1
4,541,557,590,49,20.35,2.42,2.42,90.49,58.675,22,1.05,43.55200000000001,590,GR86-033-46,3,145.653,Sebring,Race 1
5,967,979,998,31,74.93,2.42,2.42,86.43,138.41,28,0.011,3.29375,967,GR86-033-46,3,145.653,Sebring,Race 1
6,1000,1033,1079,79,47.94,2.39,2.39,96.01,58.125,45,0.961,64.77374999999999,1007,GR86-033-46,3,145.653,Sebring,Race 1
7,1442,1454,1463,21,75.23,2.46,2.46,96.15,118.295,19,0.056,3.0818181818181825,1442,GR86-033-46,3,145.653,Sebring,Race 1
8,1476,1483,1535,59,71.57000000000001,2.43,2.43,96.86,66.365,36,0.114,49.13666666666666,1476,GR86-033-46,3,145.653,Sebring,Race 1
9,1772,1784,1788,16,36.01,2.48,2.48,99.66,110.59,13,0.245,8.141176470588235,1788,GR86-033-46,3,145.653,Sebring,Race 1
10,1799,1813,1847,48,37.26,2.46,2.46,85.29,73.69,13,1.079,57.97142857142858,1845,GR86-033-46,3,145.653,Sebring,Race 1
11,2150,2164,2166,16,38.91,2.49,2.49,97.79,120.75,12,0.03,3.6764705882352944,2165,GR86-033-46,3,145.653,Sebring,Race 1
12,2179,2189,2229,50,4.39,2.5,2.5,84.96000000000001,61.3,18,0.8140000000000001,53.239215686274505,2229,GR86-033-46,3,145.653,Sebring,Race 1
13,2284,2288,2302,18,4.0200000000000005,2.74,2.74,87.84,70.425,5,0.389,49.30526315789474,2300,GR86-033-46,3,145.653,Sebring,Race 1
14,2708,2723,2737,29,9.02,2.44,2.44,98.56,103.4,26,0.5700000000000001,13.69,2737,GR86-033-46,3,145.653,Sebring,Race 1
15,2738,2745,2750,12,45.01,2.43,2.43,98.92,44.025,13,0.6980000000000001,13.438461538461537,2749,GR86-033-46,3,145.653,Sebring,Race 1
16,2752,2777,2810,58,29.42,2.46,2.46,88.74,47.06,20,1.013,39.55423728813558,2807,GR86-033-46,3,145.653,Sebring,Race 1
1,134,139,214,80,76.79,2.25,2.25,83.07000000000001,64.81,33,0.108,34.906172839506176,134,GR86-035-11,3,148.13,Sebring,Race 1
2,223,229,239,16,68.53,36.63,36.63,90.63,0.0,0,1.051,59.65294117647059,223,GR86-035-11,3,148.13,Sebring,Race 1
3,389,392,459,70,31.43,2.27,2.27,97.58,109.995,44,0.043,43.646478873239445,415,GR86-035-11,3,148.13,Sebring,Race 1
4,460,475,487,27,53.47,6.26,6.26,90.02,0.0,0,1.152,130.56428571428572,460,GR86-035-11,3,148.13,Sebring,Race 1
5,515,534,536,21,62.85,42.1,42.1,84.98,0.0,0,0.977,33.363636363636374,515,GR86-035-11,3,148.13,Sebring,Race 1
6,556,566,607,51,26.84,2.5,2.5,96.15,22.37,16,0.648,51.56153846153847,606,GR86-035-11,3,148.13,Sebring,Race 1
7,609,614,619,10,61.31,28.44,28.44,80.17,0.0,0,1.313,79.4,609,GR86-035-11,3,148.13,Sebring,Race 1
8,999,1006,1099,100,10.43,2.46,2.46,98.16,123.455,71,0.05,55.286138613861404,1020,GR86-035-11,3,148.13,Sebring,Race 1
9,1485,1488,1502,17,4.94,2.17,2.17,98.2,114.525,14,0.097,3.5222222222222226,1501,GR86-035-11,3,148.13,Sebring,Race 1
10,1503,1508,1577,74,46.53,2.46,2.46,95.92,104.99,40,0.137,41.62800000000001,1577,GR86-035-11,3,148.13,Sebring,Race 1
11,1824,1827,1912,88,41.89,2.11,2.11,99.27,70.0,37,0.545,51.08539325842696,1836,GR86-035-11,3,148.13,Sebring,Race 1
12,2236,2243,2311,75,78.73,2.38,2.38,94.84,79.275,35,0.168,32.23552631578947,2236,GR86-035-11,3,148.13,Sebring,Race 1
13,2395,2399,2454,59,30.4,2.31,2.31,98.43,42.775,17,0.49,38.775,2453,GR86-035-11,3,148.13,Sebring,Race 1
14,2886,2895,2993,107,30.61,2.42,2.42,99.35,58.4,55,0.479,27.64351851851852,2931,GR86-035-11,3,148.13,Sebring,Race 1
15,3006,3009,3020,14,38.42,21.92,21.92,99.9,0.0,0,1.579,64.30666666666666,3019,GR86-035-11,3,148.13,Sebring,Race 1
16,3039,3048,3050,11,77.69,35.85,35.85,95.91,0.0,0,1.119,88.14999999999999,3039,GR86-035-11,3,148.13,Sebring,Race 1
1,128,141,149,21,33.65,2.71,2.71,96.7,77.245,22,0.659,27.268181818181823,148,GR86-036-98,14,146.996,Sebring,Race 1
2,150,180,193,43,49.66,2.57,2.57,82.72,63.205,14,1.349,48.68863636363637,192,GR86-036-98,14,146.996,Sebring,Race 1
3,370,384,386,16,17.68,2.58,2.58,96.62,87.865,16,0.055,16.57058823529412,386,GR86-036-98,14,146.996,Sebring,Race 1
4,387,415,471,84,70.27,2.48,2.48,97.15,89.715,34,0.964,56.580000000000005,387,GR86-036-98,14,146.996,Sebring,Race 1
5,524,543,598,74,36.42,2.49,2.49,99.56,45.965,14,1.05,52.80266666666667,585,GR86-036-98,14,146.996,Sebring,Race 1
6,942,958,961,19,34.160000000000004,2.47,2.47,94.48,104.335,20,0.139,17.535000000000004,960,GR86-036-98,14,146.996,Sebring,Race 1
7,980,980,1058,78,2.28,2.28,2.28,83.72,88.25,32,0.004,68.28860759493669,1050,GR86-036-98,14,146.996,Sebring,Race 1
8,1392,1447,1470,78,66.47,2.48,2.48,87.77,90.935,56,1.078,30.015189873417718,1392,GR86-036-98,14,146.996,Sebring,Race 1
9,1709,1721,1724,15,32.04,2.56,2.56,98.12,96.55,15,0.645,7.1875,1723,GR86-036-98,14,146.996,Sebring,Race 1
10,1725,1756,1773,48,70.41,2.46,2.46,99.63,85.12,29,1.309,38.41428571428571,1725,GR86-036-98,14,146.996,Sebring,Race 1
11,2115,2145,2180,65,18.28,2.51,2.51,84.96000000000001,95.175,32,1.01,22.703030303030303,2128,GR86-036-98,14,146.996,Sebring,Race 1
12,2228,2237,2258,30,38.19,30.5,30.5,99.91,5.905,0,0.989,57.9741935483871,2257,GR86-036-98,14,146.996,Sebring,Race 1
13,2267,2275,2278,11,31.84,2.8000000000000003,2.8000000000000003,93.95,36.55,8,0.479,4.7749999999999995,2277,GR86-036-98,14,146.996,Sebring,Race 1
14,2279,2286,2342,63,3.59,2.56,2.56,99.88,45.52,5,0.707,33.2375,2341,GR86-036-98,14,146.996,Sebring,Race 1
15,2727,2747,2750,23,73.18,2.46,2.46,99.39,85.655,24,0.538,11.504166666666668,2727,GR86-036-98,14,146.996,Sebring,Race 1
16,2762,2782,2807,45,32.29,2.54,2.54,98.29,62.095,21,1.094,26.900000000000002,2806,GR86-036-98,14,146.996,Sebring,Race 1
1,137,149,158,21,31.5,2.89,2.89,96.19,57.715,22,0.426,13.418181818181818,157,GR86-040-3,6,148.603,Sebring,Race 1
2,160,167,170,10,5.32,2.81,2.81,91.73,43.89,11,0.722,29.972727272727276,170,GR86-040-3,6,148.603,Sebring,Race 1
3,173,189,207,34,31.85,4.74,4.74,89.77,32.685,7,1.124,39.81142857142858,207,GR86-040-3,6,148.603,Sebring,Race 1
4,400,414,434,34,39.2,2.64,2.64,98.62,71.95,35,0.052,8.305714285714286,417,GR86-040-3,6,148.603,Sebring,Race 1
5,435,442,486,51,74.09,5.05,5.05,95.74,42.055,29,0.918,57.880769230769225,435,GR86-040-3,6,148.603,Sebring,Race 1
6,523,537,544,21,77.59,42.96,42.96,98.2,0.0,0,0.842,33.759090909090915,523,GR86-040-3,6,148.603,Sebring,Race 1
7,563,576,619,56,38.34,2.71,2.71,99.52,31.27,18,0.615,45.31228070175439,618,GR86-040-3,6,148.603,Sebring,Race 1
8,1012,1089,1117,105,29.72,2.56,2.56,97.88,105.25,79,1.117,50.62264150943396,1029,GR86-040-3,6,148.603,Sebring,Race 1
9,1501,1534,1536,35,67.12,2.6,2.6,97.8,87.655,35,0.119,2.4416666666666673,1501,GR86-040-3,6,148.603,Sebring,Race 1
10,1537,1546,1593,56,70.47,2.65,2.65,84.99,67.175,36,0.014,54.96491228070175,1537,GR86-040-3,6,148.603,Sebring,Race 1
11,1844,1859,1913,69,60.35,2.64,2.64,99.79,67.235,45,0.457,40.47857142857143,1844,GR86-040-3,6,148.603,Sebring,Race 1
12,2266,2284,2287,21,32.13,2.58,2.58,94.1,76.805,22,0.149,3.2590909090909093,2287,GR86-040-3,6,148.603,Sebring,Race 1
13,2288,2292,2334,46,75.12,2.67,2.67,99.82,68.305,21,0.398,43.599999999999994,2288,GR86-040-3,6,148.603,Sebring,Race 1
14,2426,2456,2500,74,78.15,2.45,2.45,99.61,27.68,20,1.319,55.59066666666667,2426,GR86-040-3,6,148.603,Sebring,Race 1
15,2937,2956,2976,39,59.08,2.68,2.68,98.74,55.745000000000005,33,0.984,16.34,2937,GR86-040-3,6,148.603,Sebring,Race 1
16,2977,2982,2987,10,49.91,4.8,4.8,94.5,56.69,11,0.497,16.818181818181817,2986,GR86-040-3,6,148.603,Sebring,Race 1
17,2989,3006,3049,60,62.4,3.89,3.89,91.96,59.36,27,0.981,50.21967213114755,2989,GR86-040-3,6,148.603,Sebring,Race 1
1,131,143,145,14,33.59,2.59,2.59,89.11,79.69,14,0.641,12.440000000000001,145,GR86-047-21,9,147.271,Sebring,Race 1
2,147,157,230,83,24.5,2.49,2.49,99.33,50.815,19,0.963,53.56904761904761,224,GR86-047-21,9,147.271,Sebring,Race 1
3,242,251,254,12,33.37,6.18,6.18,97.01,0.0,0,1.4,74.02307692307691,253,GR86-047-21,9,147.271,Sebring,Race 1
4,388,397,400,12,6.5200000000000005,3.01,3.01,99.5,108.88,13,0.052,7.415384615384615,399,GR86-047-21,9,147.271,Sebring,Race 1
5,401,402,466,65,59.22,0.08,0.08,99.32,104.685,36,0.026,53.904545454545456,401,GR86-047-21,9,147.271,Sebring,Race 1
6,468,476,480,12,78.38,38.67,38.67,98.09,0.0,0,1.006,80.23846153846155,468,GR86-047-21,9,147.271,Sebring,Race 1
7,544,558,619,75,32.49,2.44,2.44,97.33,41.14,22,0.808,58.23157894736841,618,GR86-047-21,9,147.271,Sebring,Race 1
8,979,988,991,12,32.56,3.28,3.28,95.98,107.49,13,0.051,3.330769230769231,990,GR86-047-21,9,147.271,Sebring,Race 1
9,992,1001,1010,18,38.6,3.2,3.2,95.55,85.06,19,0.012,2.763157894736842,1009,GR86-047-21,9,147.271,Sebring,Race 1
10,1012,1027,1100,88,79.3,2.11,2.11,89.71000000000001,90.615,48,0.514,70.76516853932586,1012,GR86-047-21,9,147.271,Sebring,Race 1
11,1468,1479,1482,14,39.67,2.64,2.64,97.53,108.71,15,0.001,0.8333333333333335,1481,GR86-047-21,9,147.271,Sebring,Race 1
12,1484,1484,1567,83,0.21,0.21,0.21,97.74,77.37,39,0.042,34.141666666666666,1499,GR86-047-21,9,147.271,Sebring,Race 1
13,1807,1815,1817,10,35.5,3.58,3.58,81.51,98.745,11,0.055,1.5181818181818185,1817,GR86-047-21,9,147.271,Sebring,Race 1
14,1819,1829,1880,61,60.3,1.07,1.07,94.17,88.05,28,0.451,43.579032258064515,1819,GR86-047-21,9,147.271,Sebring,Race 1
15,2210,2223,2225,15,34.29,2.52,2.52,97.97,94.305,16,0.053,6.1625,2224,GR86-047-21,9,147.271,Sebring,Race 1
16,2226,2240,2296,70,73.52,2.51,2.51,85.28,61.36,31,0.78,28.72394366197183,2226,GR86-047-21,9,147.271,Sebring,Race 1
17,2372,2379,2382,10,28.55,3.44,3.44,99.49,46.925,9,0.316,15.281818181818187,2381,GR86-047-21,9,147.271,Sebring,Race 1
18,2384,2398,2449,65,31.64,2.5500000000000003,2.5500000000000003,95.35,45.185,12,1.315,40.24090909090909,2446,GR86-047-21,9,147.271,Sebring,Race 1
19,2880,2890,2893,13,29.96,2.67,2.67,96.84,96.075,14,0.5650000000000001,11.62857142857143,2892,GR86-047-21,9,147.271,Sebring,Race 1
20,2895,2921,2980,85,7.930000000000001,2.44,2.44,92.61,77.61,48,1.016,31.460465116279074,2911,GR86-047-21,9,147.271,Sebring,Race 1
21,2991,3003,3018,27,34.69,25.9,25.9,97.77,0.0,0,0.667,42.58928571428571,3015,GR86-047-21,9,147.271,Sebring,Race 1
1,127,135,138,11,77.88,3.0,3.0,100.08,60.43,12,0.312,9.933333333333335,127,GR86-049-88,4,147.173,Sebring,Race 1
2,139,145,199,60,75.53,2.45,2.45,96.61,50.525,33,0.835,36.66885245901639,139,GR86-049-88,4,147.173,Sebring,Race 1
3,218,226,231,13,61.22,16.96,16.96,99.74,4.24,0,1.147,60.978571428571435,218,GR86-049-88,4,147.173,Sebring,Race 1
4,379,387,389,10,46.38,3.15,3.15,87.41,107.615,11,0.044,1.5,389,GR86-049-88,4,147.173,Sebring,Race 1
5,391,398,451,60,14.61,2.43,2.43,98.38,97.315,36,0.368,48.88688524590164,400,GR86-049-88,4,147.173,Sebring,Race 1
6,528,542,589,61,48.16,2.49,2.49,100.03,26.905,21,0.858,47.39193548387096,588,GR86-049-88,4,147.173,Sebring,Race 1
7,949,962,964,15,18.94,2.48,2.48,86.57000000000001,114.845,16,0.047,0.8687499999999999,964,GR86-049-88,4,147.173,Sebring,Race 1
8,965,973,976,11,72.0,3.24,3.24,99.06,112.56,12,0.049,2.375,965,GR86-049-88,4,147.173,Sebring,Race 1
9,988,1025,1054,66,4.7700000000000005,2.4,2.4,80.16,76.955,33,1.183,68.85522388059702,1014,GR86-049-88,4,147.173,Sebring,Race 1
10,1419,1444,1505,86,21.12,2.46,2.46,99.97,112.42,58,0.029,33.67816091954023,1433,GR86-049-88,4,147.173,Sebring,Race 1
11,1754,1760,1769,15,75.13,2.42,2.42,91.53,110.085,16,0.549,28.65625,1754,GR86-049-88,4,147.173,Sebring,Race 1
12,1770,1787,1805,35,34.27,2.49,2.49,99.73,60.05,10,1.179,57.763888888888886,1804,GR86-049-88,4,147.173,Sebring,Race 1
13,2141,2154,2157,16,36.78,2.51,2.51,98.09,107.55,17,0.317,4.2,2156,GR86-049-88,4,147.173,Sebring,Race 1
14,2158,2173,2215,57,74.32000000000001,2.49,2.49,96.79,61.085,22,0.853,37.46034482758621,2158,GR86-049-88,4,147.173,Sebring,Race 1
15,2225,2227,2238,13,51.66,36.98,36.98,99.92,0.0,0,0.926,40.91428571428571,2225,GR86-049-88,4,147.173,Sebring,Race 1
16,2294,2327,2338,44,34.06,2.47,2.47,96.72,34.06,20,1.212,37.98888888888889,2337,GR86-049-88,4,147.173,Sebring,Race 1
17,2727,2737,2748,21,69.41,2.49,2.49,97.67,90.705,22,0.319,16.954545454545453,2727,GR86-049-88,4,147.173,Sebring,Race 1
18,2749,2761,2808,59,45.63,2.46,2.46,99.8,45.69,16,0.8170000000000001,40.085,2807,GR86-049-88,4,147.173,Sebring,Race 1
1,143,147,215,72,76.84,2.3000000000000003,2.3000000000000003,98.74,58.845,20,0.41,37.395890410958906,143,GR86-051-71,3,147.663,Sebring,Race 1
2,229,273,290,61,77.8,23.91,23.91,98.29,0.0,0,1.285,47.85,229,GR86-051-71,3,147.663,Sebring,Race 1
3,395,402,405,10,53.65,2.65,2.65,99.53,74.08500000000001,11,0.028,6.7272727272727275,395,GR86-051-71,3,147.663,Sebring,Race 1
4,406,410,418,12,45.0,2.4,2.4,98.51,73.17,13,0.05,15.061538461538458,417,GR86-051-71,3,147.663,Sebring,Race 1
5,420,425,490,70,17.84,2.39,2.39,90.04,46.175,30,0.514,53.00704225352113,490,GR86-051-71,3,147.663,Sebring,Race 1
6,563,578,617,54,32.06,2.49,2.49,94.93,36.87,16,1.044,54.8018181818182,616,GR86-051-71,3,147.663,Sebring,Race 1
7,999,1006,1021,22,35.28,2.53,2.53,92.67,85.47,23,0.02,10.27826086956522,1010,GR86-051-71,3,147.663,Sebring,Race 1
8,1022,1025,1033,11,30.1,2.4,2.4,81.51,76.08500000000001,12,0.14,9.333333333333334,1033,GR86-051-71,3,147.663,Sebring,Race 1
9,1034,1038,1050,16,72.4,2.4,2.4,84.57000000000001,90.02,17,0.03,9.552941176470588,1034,GR86-051-71,3,147.663,Sebring,Race 1
10,1051,1058,1126,75,14.06,2.4,2.4,82.37,66.305,27,0.74,67.20131578947367,1106,GR86-051-71,3,147.663,Sebring,Race 1
11,1489,1496,1499,10,73.91,2.6,2.6,99.0,103.755,11,0.044,7.963636363636362,1489,GR86-051-71,3,147.663,Sebring,Race 1
12,1500,1520,1524,24,59.85,2.46,2.46,94.4,73.75,25,0.054,9.159999999999998,1500,GR86-051-71,3,147.663,Sebring,Race 1
13,1525,1529,1622,97,18.78,2.37,2.37,99.91,47.995000000000005,20,0.129,28.996938775510205,1593,GR86-051-71,3,147.663,Sebring,Race 1
14,1827,1837,1840,13,43.62,2.69,2.69,83.55,46.925,14,0.251,3.749999999999999,1840,GR86-051-71,3,147.663,Sebring,Race 1
15,1841,1849,1852,11,26.83,2.53,2.53,97.73,55.64,12,0.238,6.425,1852,GR86-051-71,3,147.663,Sebring,Race 1
16,1855,1859,1898,43,20.52,2.43,2.43,99.95,49.67,15,0.717,30.15,1897,GR86-051-71,3,147.663,Sebring,Race 1
17,2267,2277,2335,68,58.84,2.46,2.46,85.3,58.28,25,0.809,30.662318840579715,2267,GR86-051-71,3,147.663,Sebring,Race 1
18,2383,2424,2426,43,48.31,2.56,2.56,95.95,33.845,10,0.002,38.71818181818182,2426,GR86-051-71,3,147.663,Sebring,Race 1
19,2427,2432,2463,36,39.06,2.39,2.39,88.76,37.235,9,0.638,38.96756756756758,2461,GR86-051-71,3,147.663,Sebring,Race 1
20,2928,2940,2942,14,77.64,2.52,2.52,93.03,59.71,15,0.507,8.280000000000001,2928,GR86-051-71,3,147.663,Sebring,Race 1
21,2943,2947,2958,15,30.12,2.37,2.37,92.28,80.495,16,0.545,10.84375,2958,GR86-051-71,3,147.663,Sebring,Race 1
